Region,count,normalized,Parent structure,Mid-level group,source_sheet,8,allen_id,allen_acronym,allen_name,allen_parent,allen_major_division,allen_cortical_class,is_cortical,is_subcortical,thalamic_group,thalamic_subdivision,allen_path
Prelimbic area,4,0.238805970149254,Unknown,Unknown,brain2,,972,PL,Prelimbic area,Isocortex,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Prelimbic area""]"
Ventral posterolateral nucleus of the thalamus,4,0.238805970149254,Unknown,Unknown,brain2,,718,VPL,Ventral posterolateral nucleus of the thalamus,Ventral posterior complex of the thalamus,Brain stem,,False,True,"Thalamus, sensory-motor cortex related",Ventral group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, sensory-motor cortex related"", ""Ventral group of the dorsal thalamus"", ""Ventral posterior complex of the thalamus"", ""Ventral posterolateral nucleus of the thalamus""]"
Claustrum,3,0.17910447761194,Cortex,Prefrontal / Insular cortex,brain2,,583,CLA,Claustrum,Cortical subplate,Cerebrum,,False,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical subplate"", ""Claustrum""]"
Dorsal peduncular area,3,0.17910447761194,Unknown,Unknown,brain2,,814,DP,Dorsal peduncular area,Olfactory areas,Cerebrum,Olfactory areas,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Olfactory areas"", ""Dorsal peduncular area""]"
Major island of Calleja,3,0.17910447761194,Striatum,Ventral striatum,brain2,,489,islm,Major island of Calleja,Olfactory tubercle,Cerebrum,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Striatum"", ""Striatum ventral region"", ""Olfactory tubercle"", ""Major island of Calleja""]"
Median preoptic nucleus,3,0.17910447761194,Hypothalamus,Preoptic region,brain2,,452,MEPO,Median preoptic nucleus,Periventricular region,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Periventricular region"", ""Median preoptic nucleus""]"
Midbrain reticular nucleus,3,0.17910447761194,Midbrain,Reticular / Miscellaneous,brain2,,128,MRN,Midbrain reticular nucleus,"Midbrain, motor related",Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Midbrain"", ""Midbrain, motor related"", ""Midbrain reticular nucleus""]"
Ventral posteromedial nucleus of the thalamus,3,0.17910447761194,Thalamus,Ventral thalamus,brain2,,733,VPM,Ventral posteromedial nucleus of the thalamus,Ventral posterior complex of the thalamus,Brain stem,,False,True,"Thalamus, sensory-motor cortex related",Ventral group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, sensory-motor cortex related"", ""Ventral group of the dorsal thalamus"", ""Ventral posterior complex of the thalamus"", ""Ventral posteromedial nucleus of the thalamus""]"
Anteromedial visual area,2,0.119402985074627,Cortex,Visual cortex,brain2,,394,VISam,Anteromedial visual area,Visual areas,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Visual areas"", ""Anteromedial visual area""]"
Basolateral amygdalar nucleus,2,0.119402985074627,Amygdala,Basolateral complex,brain2,,295,BLA,Basolateral amygdalar nucleus,Cortical subplate,Cerebrum,,False,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical subplate"", ""Basolateral amygdalar nucleus""]"
Dorsal part of the lateral geniculate complex,2,0.119402985074627,Thalamus,Geniculate complex,brain2,,170,LGd,Dorsal part of the lateral geniculate complex,"Geniculate group, dorsal thalamus",Brain stem,,False,True,"Thalamus, sensory-motor cortex related","Geniculate group, dorsal thalamus","[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, sensory-motor cortex related"", ""Geniculate group, dorsal thalamus"", ""Dorsal part of the lateral geniculate complex""]"
Islands of Calleja,2,0.119402985074627,Striatum,Ventral striatum,brain2,,481,isl,Islands of Calleja,Olfactory tubercle,Cerebrum,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Striatum"", ""Striatum ventral region"", ""Olfactory tubercle"", ""Islands of Calleja""]"
Medial septal nucleus,2,0.119402985074627,Septal area,Septal nuclei,brain2,,564,MS,Medial septal nucleus,Medial septal complex,Cerebrum,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Pallidum"", ""Pallidum, medial region"", ""Medial septal complex"", ""Medial septal nucleus""]"
Periaqueductal gray,2,0.119402985074627,Unknown,Unknown,brain2,,795,PAG,Periaqueductal gray,"Midbrain, motor related",Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Midbrain"", ""Midbrain, motor related"", ""Periaqueductal gray""]"
Septofimbrial nucleus,2,0.119402985074627,Unknown,Unknown,brain2,,310,SF,Septofimbrial nucleus,Lateral septal complex,Cerebrum,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Striatum"", ""Lateral septal complex"", ""Septofimbrial nucleus""]"
Anterodorsal nucleus,1,0.0597014925373134,Unknown,Unknown,brain2,,64,AD,Anterodorsal nucleus,Anterior group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Anterior group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Anterior group of the dorsal thalamus"", ""Anterodorsal nucleus""]"
Anteromedial nucleus,1,0.0597014925373134,Thalamus,Intralaminar thalamus,brain2,,127,AM,Anteromedial nucleus,Anterior group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Anterior group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Anterior group of the dorsal thalamus"", ""Anteromedial nucleus""]"
Anteroventral nucleus of thalamus,1,0.0597014925373134,Thalamus,Intralaminar thalamus,brain2,,255,AV,Anteroventral nucleus of thalamus,Anterior group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Anterior group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Anterior group of the dorsal thalamus"", ""Anteroventral nucleus of thalamus""]"
Bed nuclei of the stria terminalis,1,0.0597014925373134,Septal area,Septal nuclei,brain2,,351,BST,Bed nuclei of the stria terminalis,"Pallidum, caudal region",Cerebrum,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Pallidum"", ""Pallidum, caudal region"", ""Bed nuclei of the stria terminalis""]"
Central amygdalar nucleus,1,0.0597014925373134,Amygdala,Central complex,brain2,,536,CEA,Central amygdalar nucleus,Striatum-like amygdalar nuclei,Cerebrum,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Striatum"", ""Striatum-like amygdalar nuclei"", ""Central amygdalar nucleus""]"
Central medial nucleus of the thalamus,1,0.0597014925373134,Unknown,Unknown,brain2,,599,CM,Central medial nucleus of the thalamus,Intralaminar nuclei of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Intralaminar nuclei of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Intralaminar nuclei of the dorsal thalamus"", ""Central medial nucleus of the thalamus""]"
Ectorhinal area/Layer 2/3,1,0.0597014925373134,Cortex,Olfactory / Piriform cortex,brain2,,427,ECT2/3,Ectorhinal area/Layer 2/3,Ectorhinal area,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Ectorhinal area"", ""Ectorhinal area/Layer 2/3""]"
Fasciola cinerea,1,0.0597014925373134,Cortex,Entorhinal / Parahippocampal,brain2,,982,FC,Fasciola cinerea,Hippocampal region,Cerebrum,Hippocampal formation,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Hippocampal formation"", ""Hippocampal region"", ""Fasciola cinerea""]"
Hypothalamus,1,0.0597014925373134,Hypothalamus,General hypothalamus,brain2,,1097,HY,Hypothalamus,Interbrain,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus""]"
Lateral terminal nucleus of the accessory optic tract,1,0.0597014925373134,Unknown,Unknown,brain2,,66,LT,Lateral terminal nucleus of the accessory optic tract,"Midbrain, motor related",Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Midbrain"", ""Midbrain, motor related"", ""Lateral terminal nucleus of the accessory optic tract""]"
Medial preoptic area,1,0.0597014925373134,Hypothalamus,Preoptic region,brain2,,523,MPO,Medial preoptic area,Periventricular region,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Periventricular region"", ""Medial preoptic area""]"
Nucleus of the lateral olfactory tract,1,0.0597014925373134,Unknown,Unknown,brain2,,619,NLOT,Nucleus of the lateral olfactory tract,Olfactory areas,Cerebrum,Olfactory areas,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Olfactory areas"", ""Nucleus of the lateral olfactory tract""]"
Olfactory areas,1,0.0597014925373134,Unknown,Unknown,brain2,,698,OLF,Olfactory areas,Cortical plate,Cerebrum,Olfactory areas,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Olfactory areas""]"
Parasubthalamic nucleus,1,0.0597014925373134,Unknown,Unknown,brain2,,364,PSTN,Parasubthalamic nucleus,Hypothalamic lateral zone,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Hypothalamic lateral zone"", ""Parasubthalamic nucleus""]"
Primary auditory area,1,0.0597014925373134,Cortex,Auditory cortex,brain2,,1002,AUDp,Primary auditory area,Auditory areas,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Auditory areas"", ""Primary auditory area""]"
Subiculum,1,0.0597014925373134,Cortex,Entorhinal / Parahippocampal,brain2,,502,SUB,Subiculum,Retrohippocampal region,Cerebrum,Hippocampal formation,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Hippocampal formation"", ""Retrohippocampal region"", ""Subiculum""]"
Supraoptic nucleus,1,0.0597014925373134,Hypothalamus,Lateral hypothalamus,brain2,,390,SO,Supraoptic nucleus,Periventricular zone,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Periventricular zone"", ""Supraoptic nucleus""]"
Triangular nucleus of septum,1,0.0597014925373134,Unknown,Unknown,brain2,,581,TRS,Triangular nucleus of septum,"Pallidum, medial region",Cerebrum,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Pallidum"", ""Pallidum, medial region"", ""Triangular nucleus of septum""]"
Primary somatosensory area,1065,26.3288009888752,Cortex,Somatosensory cortex,brain3,,322,SSp,Primary somatosensory area,Somatosensory areas,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Somatosensory areas"", ""Primary somatosensory area""]"
Primary motor area,943,23.3127317676143,Cortex,Motor cortex,brain3,,985,MOp,Primary motor area,Somatomotor areas,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Somatomotor areas"", ""Primary motor area""]"
Supplemental somatosensory area,310,7.66378244746601,Cortex,Somatosensory cortex,brain3,,378,SSs,Supplemental somatosensory area,Somatosensory areas,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Somatosensory areas"", ""Supplemental somatosensory area""]"
Anterior cingulate area,309,7.63906056860321,Cortex,Prefrontal / Insular cortex,brain3,,31,ACA,Anterior cingulate area,Isocortex,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Anterior cingulate area""]"
Gustatory areas,237,5.85908529048208,Unknown,Unknown,brain3,,1057,GU,Gustatory areas,Isocortex,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Gustatory areas""]"
Caudoputamen,226,5.58714462299135,Striatum,Dorsal striatum,brain3,,672,CP,Caudoputamen,Striatum dorsal region,Cerebrum,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Striatum"", ""Striatum dorsal region"", ""Caudoputamen""]"
Agranular insular area,129,3.18912237330037,Cortex,Prefrontal / Insular cortex,brain3,,95,AI,Agranular insular area,Isocortex,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Agranular insular area""]"
Secondary motor area,111,2.74412855377009,Cortex,Motor cortex,brain3,,993,MOs,Secondary motor area,Somatomotor areas,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Somatomotor areas"", ""Secondary motor area""]"
Visceral area,92,2.27441285537701,Cortex,Somatosensory cortex,brain3,,677,VISC,Visceral area,Isocortex,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Visceral area""]"
Orbital area,75,1.85414091470952,Cortex,Prefrontal / Insular cortex,brain3,,714,ORB,Orbital area,Isocortex,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Orbital area""]"
Ventral anterior-lateral complex of the thalamus,63,1.55747836835599,Thalamus,Ventral thalamus,brain3,,629,VAL,Ventral anterior-lateral complex of the thalamus,Ventral group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, sensory-motor cortex related",Ventral group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, sensory-motor cortex related"", ""Ventral group of the dorsal thalamus"", ""Ventral anterior-lateral complex of the thalamus""]"
Prelimbic area,57,1.40914709517923,Unknown,Unknown,brain3,,972,PL,Prelimbic area,Isocortex,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Prelimbic area""]"
Piriform area,50,1.23609394313968,Cortex,Olfactory / Piriform cortex,brain3,,961,PIR,Piriform area,Olfactory areas,Cerebrum,Olfactory areas,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Olfactory areas"", ""Piriform area""]"
Anteromedial nucleus,44,1.08776266996292,Thalamus,Intralaminar thalamus,brain3,,127,AM,Anteromedial nucleus,Anterior group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Anterior group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Anterior group of the dorsal thalamus"", ""Anteromedial nucleus""]"
Mediodorsal nucleus of the thalamus,42,1.03831891223733,Thalamus,Medial thalamus,brain3,,362,MD,Mediodorsal nucleus of thalamus,Medial group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Medial group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Medial group of the dorsal thalamus"", ""Mediodorsal nucleus of thalamus""]"
Infralimbic area,37,0.914709517923362,Cortex,Prefrontal / Insular cortex,brain3,,44,ILA,Infralimbic area,Isocortex,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Infralimbic area""]"
Lateral septal nucleus,21,0.519159456118665,Septal area,Septal nuclei,brain3,,242,LS,Lateral septal nucleus,Lateral septal complex,Cerebrum,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Striatum"", ""Lateral septal complex"", ""Lateral septal nucleus""]"
Globus pallidus,20,0.494437577255871,Pallidum,Globus pallidus,brain3,,1022,GPe,"Globus pallidus, external segment","Pallidum, dorsal region",Cerebrum,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Pallidum"", ""Pallidum, dorsal region"", ""Globus pallidus, external segment""]"
Claustrum,17,0.420271940667491,Cortex,Prefrontal / Insular cortex,brain3,,583,CLA,Claustrum,Cortical subplate,Cerebrum,,False,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical subplate"", ""Claustrum""]"
Substantia innominata,17,0.420271940667491,Striatum,Ventral striatum,brain3,,342,SI,Substantia innominata,"Pallidum, ventral region",Cerebrum,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Pallidum"", ""Pallidum, ventral region"", ""Substantia innominata""]"
Diagonal band nucleus,15,0.370828182941904,Septal area,Septal nuclei,brain3,,596,NDB,Diagonal band nucleus,Medial septal complex,Cerebrum,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Pallidum"", ""Pallidum, medial region"", ""Medial septal complex"", ""Diagonal band nucleus""]"
Nucleus accumbens,15,0.370828182941904,Striatum,Ventral striatum,brain3,,56,ACB,Nucleus accumbens,Striatum ventral region,Cerebrum,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Striatum"", ""Striatum ventral region"", ""Nucleus accumbens""]"
Thalamus,14,0.34610630407911,Thalamus,General thalamus,brain3,,549,TH,Thalamus,Interbrain,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus""]"
Anterior olfactory nucleus,13,0.321384425216316,Unknown,Unknown,brain3,,159,AON,Anterior olfactory nucleus,Olfactory areas,Cerebrum,Olfactory areas,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Olfactory areas"", ""Anterior olfactory nucleus""]"
Central medial nucleus of the thalamus,11,0.271940667490729,Unknown,Unknown,brain3,,599,CM,Central medial nucleus of the thalamus,Intralaminar nuclei of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Intralaminar nuclei of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Intralaminar nuclei of the dorsal thalamus"", ""Central medial nucleus of the thalamus""]"
Central amygdalar nucleus,9,0.222496909765142,Amygdala,Central complex,brain3,,536,CEA,Central amygdalar nucleus,Striatum-like amygdalar nuclei,Cerebrum,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Striatum"", ""Striatum-like amygdalar nuclei"", ""Central amygdalar nucleus""]"
Ventral medial nucleus of the thalamus,9,0.222496909765142,Thalamus,Ventral thalamus,brain3,,685,VM,Ventral medial nucleus of the thalamus,Ventral group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, sensory-motor cortex related",Ventral group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, sensory-motor cortex related"", ""Ventral group of the dorsal thalamus"", ""Ventral medial nucleus of the thalamus""]"
Basic cell groups and regions,8,0.197775030902349,Other,Other,brain3,,8,grey,Basic cell groups and regions,root,,,False,False,,,"[""root"", ""Basic cell groups and regions""]"
Lateral preoptic area,8,0.197775030902349,Hypothalamus,Preoptic region,brain3,,226,LPO,Lateral preoptic area,Hypothalamic lateral zone,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Hypothalamic lateral zone"", ""Lateral preoptic area""]"
Endopiriform nucleus,6,0.148331273176761,Other,Other,brain3,,942,EP,Endopiriform nucleus,Cortical subplate,Cerebrum,,False,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical subplate"", ""Endopiriform nucleus""]"
Lateral hypothalamic area,6,0.148331273176761,Hypothalamus,Lateral hypothalamus,brain3,,194,LHA,Lateral hypothalamic area,Hypothalamic lateral zone,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Hypothalamic lateral zone"", ""Lateral hypothalamic area""]"
Nucleus of reunions,6,0.148331273176761,Thalamus,Medial thalamus,brain3,,181,RE,Nucleus of reuniens,Midline group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Midline group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Midline group of the dorsal thalamus"", ""Nucleus of reuniens""]"
Submedial nucleus of the thalamus,6,0.148331273176761,Unknown,Unknown,brain3,,366,SMT,Submedial nucleus of the thalamus,Medial group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Medial group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Medial group of the dorsal thalamus"", ""Submedial nucleus of the thalamus""]"
Interanterodorsal nucleus of the thalamus,4,0.0988875154511743,Unknown,Unknown,brain3,,1113,IAD,Interanterodorsal nucleus of the thalamus,Anterior group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Anterior group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Anterior group of the dorsal thalamus"", ""Interanterodorsal nucleus of the thalamus""]"
Ventral posteromedial nucleus of the thalamus,4,0.0988875154511743,Thalamus,Ventral thalamus,brain3,,733,VPM,Ventral posteromedial nucleus of the thalamus,Ventral posterior complex of the thalamus,Brain stem,,False,True,"Thalamus, sensory-motor cortex related",Ventral group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, sensory-motor cortex related"", ""Ventral group of the dorsal thalamus"", ""Ventral posterior complex of the thalamus"", ""Ventral posteromedial nucleus of the thalamus""]"
Zona incerta,4,0.0988875154511743,Hypothalamus,Lateral hypothalamus,brain3,,797,ZI,Zona incerta,Hypothalamic lateral zone,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Hypothalamic lateral zone"", ""Zona incerta""]"
Basolateral amygdalar nucleus,3,0.0741656365883807,Amygdala,Basolateral complex,brain3,,295,BLA,Basolateral amygdalar nucleus,Cortical subplate,Cerebrum,,False,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical subplate"", ""Basolateral amygdalar nucleus""]"
Lateral dorsal nucleus of thalamus,3,0.0741656365883807,Thalamus,Lateral thalamus,brain3,,155,LD,Lateral dorsal nucleus of thalamus,Anterior group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Anterior group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Anterior group of the dorsal thalamus"", ""Lateral dorsal nucleus of thalamus""]"
Lateral habenula,3,0.0741656365883807,Midbrain,Habenula,brain3,,186,LH,Lateral habenula,Epithalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Epithalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Epithalamus"", ""Lateral habenula""]"
Medial preoptic area,3,0.0741656365883807,Hypothalamus,Preoptic region,brain3,,523,MPO,Medial preoptic area,Periventricular region,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Periventricular region"", ""Medial preoptic area""]"
Olfactory areas,3,0.0741656365883807,Unknown,Unknown,brain3,,698,OLF,Olfactory areas,Cortical plate,Cerebrum,Olfactory areas,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Olfactory areas""]"
Anterior amygdalar area,2,0.0494437577255872,Amygdala,Central complex,brain3,,23,AAA,Anterior amygdalar area,Striatum-like amygdalar nuclei,Cerebrum,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Striatum"", ""Striatum-like amygdalar nuclei"", ""Anterior amygdalar area""]"
Anteroventral nucleus of thalamus,2,0.0494437577255872,Thalamus,Intralaminar thalamus,brain3,,255,AV,Anteroventral nucleus of thalamus,Anterior group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Anterior group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Anterior group of the dorsal thalamus"", ""Anteroventral nucleus of thalamus""]"
Dentate gyrus,2,0.0494437577255872,Hippocampus,Dentate gyrus,brain3,,726,DG,Dentate gyrus,Hippocampal region,Cerebrum,Hippocampal formation,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Hippocampal formation"", ""Hippocampal region"", ""Dentate gyrus""]"
Induseum griseum,2,0.0494437577255872,Unknown,Unknown,brain3,,19,IG,Induseum griseum,Hippocampal region,Cerebrum,Hippocampal formation,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Hippocampal formation"", ""Hippocampal region"", ""Induseum griseum""]"
